title,notation,label
11-Logic,11,Logic
12-Mathematics,12,Mathematics
21-Astronomy and astrophysics,21,Astronomy and astrophysics
22-Physics,22,Physics
23-Chemistry,23,Chemistry
24-Life Sciences,24,Life Sciences
25-Earth and Space Sciences,25,Earth and Space Sciences
31-Agricultural Sciences,31,Agricultural Sciences
32-Medical Sciences ,32,Medical Sciences 
33-Technological Sciences,33,Technological Sciences
51-Anthropology ,51,Anthropology 
52-Demographics,52,Demographics
53-Economic Sciences,53,Economic Sciences
54-Geography,54,Geography
55-History,55,History
56-Juridical Sciences and Law,56,Juridical Sciences and Law
57-Linguistics,57,Linguistics
58-Pedagogy,58,Pedagogy
59-Political Science,59,Political Science
61-Psychology,61,Psychology
62-Science of Arts and Letters,62,Science of Arts and Letters
63-Sociology,63,Sociology
71-Ethics,71,Ethics
72-Philosophy,72,Philosophy
